time,open,high,low,close,tick_volume,spread,real_volume
2000-01-03,1.0073,1.0278,1.0054,1.0246,6642,50,0
2000-01-04,1.0243,1.034,1.0213,1.0292,7339,50,0
2000-01-05,1.0293,1.0402,1.0284,1.0326,6570,50,0
2000-01-06,1.0325,1.0415,1.0272,1.033,7223,50,0
2000-01-07,1.0329,1.0332,1.026,1.0298,5689,50,0
2000-01-10,1.0286,1.0305,1.0211,1.0251,6197,50,0
2000-01-11,1.0253,1.0341,1.0246,1.0336,6637,50,0
2000-01-12,1.0337,1.037,1.0261,1.0308,6877,50,0
2000-01-13,1.0309,1.0316,1.0237,1.026,6176,50,0
2000-01-14,1.0261,1.0275,1.0114,1.0122,6176,50,0
2000-01-17,1.0129,1.0148,1.0069,1.0119,5681,50,0
2000-01-18,1.0118,1.0154,1.0072,1.0152,6737,50,0
2000-01-19,1.0152,1.0165,1.0085,1.0125,6369,50,0
2000-01-20,1.0126,1.0188,1.0073,1.0167,6803,50,0
2000-01-21,1.0168,1.0193,1.005,1.0087,7670,50,0
2000-01-24,1.0028,1.0077,0.9997,1.0071,6395,50,0
2000-01-25,1.007,1.0096,0.9992,1.0012,5959,50,0
2000-01-26,1.0012,1.0055,0.9995,1.0003,7146,50,0
2000-01-27,1.0007,1.003,0.9868,0.9882,7281,50,0
2000-01-28,0.9883,0.9895,0.9736,0.9749,6886,50,0
2000-01-31,0.9773,0.9829,0.9667,0.9711,6321,50,0
2000-02-01,0.9711,0.9782,0.9667,0.9713,6788,50,0
2000-02-02,0.9713,0.9808,0.9694,0.9765,6744,50,0
2000-02-03,0.9767,0.9947,0.971,0.9898,7679,50,0
2000-02-04,0.99,0.994,0.9747,0.984,7380,50,0
2000-02-07,0.9832,0.9832,0.9754,0.9809,5721,50,0
2000-02-08,0.981,0.9914,0.9786,0.9859,6799,50,0
2000-02-09,0.986,0.9971,0.9856,0.9934,7469,50,0
2000-02-10,0.9934,0.9962,0.9831,0.9852,7079,50,0
2000-02-11,0.9853,0.9886,0.9786,0.9884,6296,50,0
2000-02-14,0.9877,0.9916,0.9776,0.9785,6245,50,0
2000-02-15,0.9781,0.9862,0.9763,0.9813,6522,50,0
2000-02-16,0.9815,0.9878,0.979,0.9863,5691,50,0
2000-02-17,0.9862,0.9958,0.9837,0.988,6316,50,0
2000-02-18,0.9881,0.9902,0.9809,0.9845,5990,50,0
2000-02-21,0.9854,0.9889,0.9843,0.9878,5385,50,0
2000-02-22,0.9878,1.0081,0.9874,1.0039,6381,50,0
2000-02-23,1.0038,1.0089,1.0011,1.0036,5805,50,0
2000-02-24,1.0035,1.0042,0.9888,0.9911,6432,50,0
2000-02-25,0.9914,0.993,0.9722,0.9746,6567,50,0
2000-02-28,0.9728,0.9733,0.9401,0.9708,7657,50,0
2000-02-29,0.9707,0.9872,0.9622,0.9635,7618,50,0
2000-03-01,0.9635,0.9767,0.9626,0.9727,7147,50,0
2000-03-02,0.9728,0.9793,0.9615,0.9633,7838,50,0
2000-03-03,0.963,0.9678,0.9577,0.9607,7137,50,0
2000-03-06,0.9567,0.9672,0.9559,0.9579,6543,50,0
2000-03-07,0.9579,0.9624,0.9525,0.9585,7253,50,0
2000-03-08,0.9583,0.9631,0.9521,0.9615,7248,50,0
2000-03-09,0.9614,0.9698,0.9595,0.9673,7221,50,0
2000-03-10,0.9673,0.969,0.9599,0.9639,6822,50,0
2000-03-13,0.9627,0.973,0.9616,0.9645,6818,50,0
2000-03-14,0.9646,0.9692,0.959,0.9685,6763,50,0
2000-03-15,0.9684,0.9714,0.964,0.9653,6754,50,0
2000-03-16,0.9651,0.974,0.9646,0.9704,6669,50,0
2000-03-17,0.9702,0.9732,0.9657,0.9729,6354,50,0
2000-03-20,0.9725,0.9746,0.9684,0.9727,6103,50,0
2000-03-21,0.9729,0.974,0.9603,0.9609,6759,50,0
2000-03-22,0.9607,0.9632,0.9573,0.9605,6754,50,0
2000-03-23,0.9602,0.973,0.9601,0.9715,6294,50,0
2000-03-24,0.9714,0.9785,0.9672,0.9785,7121,50,0
2000-03-27,0.9774,0.979,0.9632,0.9673,6814,50,0
2000-03-28,0.9673,0.9702,0.96,0.9604,7337,50,0
2000-03-29,0.9605,0.961,0.9478,0.9514,7334,50,0
2000-03-30,0.9514,0.9624,0.951,0.9612,6829,50,0
2000-03-31,0.9613,0.9632,0.9528,0.9552,6829,50,0
2000-04-03,0.9562,0.9606,0.9502,0.9538,6260,50,0
2000-04-04,0.9539,0.9749,0.9515,0.9618,6557,50,0
2000-04-05,0.9617,0.9712,0.9594,0.9607,7361,50,0
2000-04-06,0.9607,0.9642,0.9565,0.9582,6469,50,0
2000-04-07,0.9581,0.9609,0.9537,0.9545,6598,50,0
2000-04-10,0.9548,0.963,0.9534,0.9624,6251,50,0
2000-04-11,0.9625,0.9649,0.9562,0.9587,7217,50,0
2000-04-12,0.9588,0.9607,0.9521,0.959,7611,50,0
2000-04-13,0.9589,0.9602,0.9513,0.953,7303,50,0
2000-04-14,0.9528,0.9632,0.951,0.9628,7040,50,0
2000-04-17,0.9648,0.9679,0.9516,0.9522,7095,50,0
2000-04-18,0.952,0.9527,0.944,0.945,7902,50,0
2000-04-19,0.9449,0.9491,0.9355,0.9404,6371,50,0
2000-04-20,0.94,0.9425,0.9353,0.938,6354,50,0
2000-04-21,0.9379,0.94,0.9362,0.9383,3446,50,0
2000-04-24,0.9382,0.9451,0.9367,0.9387,3627,50,0
2000-04-25,0.9389,0.9397,0.9163,0.9208,6525,50,0
2000-04-26,0.921,0.9249,0.9175,0.9234,6876,50,0
2000-04-27,0.9236,0.9249,0.9059,0.9106,7267,50,0
