time,open,high,low,close,tick_volume,spread,real_volume
2021-01-04,3761.0,3783.3,3662.6,3703.7,47505,3,0
2021-01-05,3698.2,3739.2,3683.2,3726.8,53868,2,0
2021-01-06,3723.4,3784.3,3695.4,3751.0,70981,2,0
2021-01-07,3759.0,3812.9,3751.2,3804.3,38114,3,0
2021-01-08,3802.3,3827.5,3784.0,3825.2,43756,3,0
2021-01-11,3822.4,3822.9,3785.2,3801.0,42169,3,0
2021-01-12,3804.7,3815.4,3774.7,3798.9,36700,3,0
2021-01-13,3804.7,3822.2,3783.2,3808.9,27668,3,0
2021-01-14,3814.4,3826.0,3792.5,3796.8,25518,3,0
2021-01-15,3802.5,3803.8,3747.8,3768.7,37268,2,0
2021-01-18,3766.5,3776.0,3748.4,3775.8,15607,3,0
2021-01-19,3779.2,3804.4,3777.9,3798.4,20694,4,0
2021-01-20,3810.6,3859.5,3795.8,3851.8,18721,5,0
2021-01-21,3855.0,3866.2,3843.7,3853.7,19117,3,0
2021-01-22,3851.1,3855.0,3820.2,3840.2,22925,2,0
2021-01-25,3849.8,3860.7,3798.9,3856.6,39055,2,0
2021-01-26,3854.7,3870.5,3829.8,3849.5,36387,2,0
2021-01-27,3858.4,3858.9,3731.5,3751.0,61133,2,0
2021-01-28,3725.4,3830.7,3711.1,3785.2,68478,7,0
2021-01-29,3781.5,3783.2,3692.5,3710.2,83314,7,0
