time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02,108.705,108.864,108.21,108.566,24641,3,0
2020-01-03,108.555,108.627,107.839,108.101,53832,3,0
2020-01-06,107.884,108.504,107.769,108.365,44768,3,0
2020-01-07,108.362,108.628,108.259,108.439,42804,3,0
2020-01-08,108.439,109.243,107.647,109.103,82424,3,0
2020-01-09,109.103,109.58,109.01,109.514,40914,3,0
2020-01-10,109.513,109.688,109.432,109.5,30309,2,0
2020-01-13,109.52,109.944,109.501,109.942,23776,3,0
2020-01-14,109.939,110.212,109.85,109.982,36033,3,0
2020-01-15,109.973,110.008,109.788,109.892,31717,3,0
2020-01-16,109.883,110.178,109.848,110.151,27494,3,0
2020-01-17,110.136,110.287,110.046,110.161,26920,3,0
2020-01-20,110.105,110.215,110.102,110.178,18702,3,0
2020-01-21,110.178,110.22,109.76,109.859,34700,3,0
2020-01-22,109.857,110.099,109.827,109.834,31492,3,0
2020-01-23,109.829,109.86,109.264,109.485,41211,3,0
2020-01-24,109.485,109.65,109.17,109.278,38021,3,0
2020-01-27,108.968,109.135,108.729,108.883,58413,3,0
2020-01-28,108.884,109.2,108.754,109.137,41155,3,0
2020-01-29,109.137,109.264,108.974,109.009,38602,3,0
2020-01-30,109.009,109.064,108.579,108.949,60894,3,0
2020-01-31,108.95,109.134,108.305,108.346,58477,3,0
2020-02-03,108.431,108.797,108.311,108.667,53147,3,0
2020-02-04,108.68,109.543,108.547,109.518,44163,3,0
2020-02-05,109.517,109.842,109.302,109.815,49739,3,0
2020-02-06,109.814,110.005,109.747,109.986,38165,3,0
2020-02-07,109.985,110.02,109.531,109.776,50008,3,0
2020-02-10,109.685,109.876,109.559,109.771,43537,3,0
2020-02-11,109.765,109.961,109.729,109.782,32682,3,0
2020-02-12,109.781,110.134,109.756,110.097,36209,3,0
2020-02-13,110.095,110.095,109.616,109.815,52416,3,0
2020-02-14,109.787,109.91,109.696,109.772,36355,3,0
2020-02-17,109.803,109.96,109.717,109.871,25100,3,0
2020-02-18,109.866,109.946,109.655,109.866,43546,3,0
2020-02-19,109.866,111.589,109.834,111.362,43096,3,0
2020-02-20,111.356,112.225,111.11,112.071,70874,2,0
2020-02-21,112.072,112.185,111.469,111.566,65348,3,0
2020-02-24,111.315,111.681,110.33,110.708,87480,3,0
2020-02-25,110.697,111.039,109.888,110.19,118392,3,0
2020-02-26,110.189,110.699,110.128,110.419,125799,3,0
2020-02-27,110.418,110.453,109.565,109.576,143550,3,0
2020-02-28,109.574,109.678,107.506,108.062,173521,2,0
