time,open,high,low,close,tick_volume,spread,real_volume
2000-01-03,102.14,102.26,101.39,101.68,4498,50,0
2000-01-04,101.71,103.34,101.5,103.15,6780,50,0
2000-01-05,103.16,104.47,102.8,104.12,5860,50,0
2000-01-06,104.12,105.58,103.98,105.26,6729,50,0
2000-01-07,105.26,105.92,104.87,105.41,5457,50,0
2000-01-10,105.11,105.39,104.33,105.17,5557,50,0
2000-01-11,105.16,106.33,105.09,106.05,6932,50,0
2000-01-12,106.04,106.27,105.54,105.73,6353,50,0
2000-01-13,105.73,106.25,105.42,106.1,5631,50,0
2000-01-14,106.08,106.6,105.46,105.93,5457,50,0
2000-01-17,105.85,105.88,104.64,104.9,4752,50,0
2000-01-18,104.93,105.74,104.78,105.69,5343,50,0
2000-01-19,105.68,106.11,105.16,105.3,5726,50,0
2000-01-20,105.27,105.72,105.17,105.37,5541,50,0
2000-01-21,105.39,105.45,104.42,104.86,6364,50,0
2000-01-24,105.12,105.86,104.67,105.58,5772,50,0
2000-01-25,105.55,106.07,105.5,106.05,5320,50,0
2000-01-26,106.04,106.21,105.53,105.6,5783,50,0
2000-01-27,105.59,105.9,104.67,105.06,7349,50,0
2000-01-28,105.06,107.27,104.55,107.19,6233,50,0
2000-01-31,107.06,107.54,106.59,107.27,5127,50,0
2000-02-01,107.27,107.98,107.03,107.85,5869,50,0
2000-02-02,107.86,109.07,107.73,108.21,6423,50,0
2000-02-03,108.2,108.78,107.17,107.59,6486,50,0
2000-02-04,107.59,108.06,107.12,107.17,6466,50,0
2000-02-07,107.22,108.85,107.2,108.62,5767,50,0
2000-02-08,108.63,109.7,108.62,109.45,6891,50,0
2000-02-09,109.47,109.67,108.53,108.86,7852,50,0
2000-02-10,108.84,109.3,108.3,109.25,8201,50,0
2000-02-11,109.24,109.78,108.67,108.82,6666,50,0
2000-02-14,108.87,109.0,108.05,108.94,5560,50,0
2000-02-15,108.94,109.34,108.46,109.16,6724,50,0
2000-02-16,109.15,109.67,108.88,109.38,6078,50,0
2000-02-17,109.39,110.68,109.3,110.56,6230,50,0
2000-02-18,110.58,111.27,110.32,110.98,5497,50,0
2000-02-21,110.76,111.45,110.4,111.31,6234,50,0
2000-02-22,111.37,111.73,110.54,110.7,6209,50,0
2000-02-23,110.72,111.35,110.09,111.09,5531,50,0
2000-02-24,111.11,111.53,110.55,111.43,6266,50,0
2000-02-25,111.46,111.49,110.13,110.28,5995,50,0
2000-02-28,109.62,109.88,108.32,109.46,6144,50,0
2000-02-29,109.45,110.38,109.37,110.24,6308,50,0
2000-03-01,110.2,110.25,106.55,107.19,7488,50,0
2000-03-02,107.19,107.95,106.56,107.72,8185,50,0
2000-03-03,107.71,108.08,107.3,107.73,6738,50,0
2000-03-06,107.82,107.9,106.72,107.31,6336,50,0
2000-03-07,107.33,108.15,105.78,106.22,7219,50,0
2000-03-08,106.21,107.49,106.01,107.19,7747,50,0
2000-03-09,107.18,107.57,106.17,106.62,6775,50,0
2000-03-10,106.61,106.75,106.06,106.33,6106,50,0
2000-03-13,106.29,106.61,104.78,105.58,6955,50,0
2000-03-14,105.6,105.93,104.61,105.14,6408,50,0
2000-03-15,105.15,106.25,104.76,105.65,6582,50,0
2000-03-16,105.64,105.81,105.09,105.42,5990,50,0
2000-03-17,105.4,106.8,105.37,106.74,6283,50,0
2000-03-20,106.91,107.08,106.25,106.36,7070,50,0
2000-03-21,106.33,107.25,106.24,106.73,6036,50,0
2000-03-22,106.72,107.18,106.5,107.16,6220,50,0
2000-03-23,107.14,107.82,106.98,107.24,6170,50,0
2000-03-24,107.22,107.68,106.69,106.87,5964,50,0
2000-03-27,106.86,107.17,106.6,106.78,5766,50,0
2000-03-28,106.78,106.81,105.65,105.85,6796,50,0
2000-03-29,105.82,106.35,104.97,105.75,6981,50,0
2000-03-30,105.74,105.92,104.82,105.45,6753,50,0
2000-03-31,105.47,106.08,102.03,102.77,8199,50,0
2000-04-03,103.32,105.63,102.84,104.92,7355,50,0
2000-04-04,104.92,105.77,104.14,105.3,5856,50,0
2000-04-05,105.28,105.6,104.73,104.86,6558,50,0
2000-04-06,104.84,105.14,104.55,104.79,5762,50,0
2000-04-07,104.79,105.51,104.7,105.42,4756,50,0
2000-04-10,105.39,106.85,105.29,106.49,5899,50,0
2000-04-11,106.49,107.15,106.27,106.92,5604,50,0
2000-04-12,106.91,106.99,105.25,105.75,6719,50,0
2000-04-13,105.8,106.15,105.6,105.87,6241,50,0
2000-04-14,105.85,106.2,104.72,104.8,6193,50,0
2000-04-17,104.29,105.35,103.23,104.5,6817,50,0
2000-04-18,104.5,104.87,103.47,104.68,7525,50,0
2000-04-19,104.67,105.05,104.22,104.81,6532,50,0
2000-04-20,104.89,105.89,104.43,105.77,6635,50,0
2000-04-21,105.77,105.91,105.42,105.77,4342,50,0
2000-04-24,105.82,106.01,105.06,105.7,4639,50,0
2000-04-25,105.71,106.35,105.21,106.27,6985,50,0
2000-04-26,106.31,106.8,105.52,106.25,7433,50,0
2000-04-27,106.27,106.62,105.84,106.38,7509,50,0
2000-04-28,106.39,108.31,106.35,108.09,6828,50,0
2000-05-01,107.78,109.05,107.69,108.78,4835,50,0
2000-05-02,108.77,108.98,108.22,108.47,6333,50,0
2000-05-03,108.47,109.52,108.33,109.09,6269,50,0
2000-05-04,109.1,109.66,107.66,108.02,7338,50,0
2000-05-05,108.03,108.7,107.23,108.54,6698,50,0
2000-05-08,108.77,109.22,108.3,108.92,7194,50,0
2000-05-09,108.93,109.67,108.55,109.31,7169,50,0
2000-05-10,109.27,109.63,108.6,109.36,6890,50,0
2000-05-11,109.4,110.08,108.06,108.43,7862,50,0
2000-05-12,108.45,109.06,107.67,108.18,7052,50,0
2000-05-15,108.67,109.59,108.58,109.17,5542,50,0
2000-05-16,109.09,109.91,108.75,109.69,6297,50,0
2000-05-17,109.68,110.04,109.01,109.23,6496,50,0
2000-05-18,109.21,109.46,108.44,108.52,7541,50,0
2000-05-19,108.49,108.82,106.37,106.9,8211,50,0
2000-05-22,107.13,107.5,106.73,107.16,7163,50,0
2000-05-23,107.15,107.29,106.39,106.41,7597,50,0
2000-05-24,106.42,107.99,106.39,107.75,7260,50,0
2000-05-25,107.74,107.99,107.26,107.34,7644,50,0
2000-05-26,107.35,107.85,106.58,107.15,7108,50,0
2000-05-29,107.02,107.41,106.69,106.98,6105,50,0
2000-05-30,106.99,107.03,106.05,106.59,7108,50,0
2000-05-31,106.6,107.94,106.17,107.66,7457,50,0
2000-06-01,107.65,109.02,107.6,108.56,6498,50,0
2000-06-02,108.55,109.06,107.66,108.03,6551,50,0
2000-06-05,108.01,108.29,107.25,107.36,6912,50,0
2000-06-06,107.34,107.62,105.2,105.81,7295,50,0
2000-06-07,105.82,106.22,105.03,105.48,7828,50,0
2000-06-08,105.45,106.28,105.4,105.89,7242,50,0
2000-06-09,105.89,107.2,105.84,107.09,7087,50,0
2000-06-12,106.8,107.2,106.33,106.88,6531,50,0
2000-06-13,106.87,107.03,106.19,106.93,6682,50,0
2000-06-14,106.95,107.15,106.3,106.65,7441,50,0
2000-06-15,106.67,106.75,105.87,106.47,7198,50,0
2000-06-16,106.47,106.61,106.01,106.37,6594,50,0
2000-06-19,106.42,106.51,105.57,105.85,6871,50,0
2000-06-20,105.86,105.91,105.2,105.45,7510,50,0
2000-06-21,105.46,105.66,105.15,105.57,6805,50,0
2000-06-22,105.57,105.67,104.12,104.54,7255,50,0
2000-06-23,104.54,104.92,103.9,104.76,7494,50,0
2000-06-26,104.61,105.78,104.27,105.6,7129,50,0
2000-06-27,105.57,105.93,105.22,105.26,7254,50,0
2000-06-28,105.26,105.83,105.24,105.52,6730,50,0
2000-06-29,105.5,105.53,104.38,105.32,7703,50,0
2000-06-30,105.35,106.37,104.73,106.09,7424,50,0
2000-07-03,106.04,106.49,105.59,105.68,6793,50,0
2000-07-04,105.73,106.52,105.27,106.18,7278,50,0
2000-07-05,106.17,107.2,105.8,106.99,7291,50,0
2000-07-06,106.98,107.54,106.81,107.44,7326,50,0
2000-07-07,107.44,107.97,107.21,107.92,6823,50,0
2000-07-10,107.87,107.91,106.56,107.03,6785,50,0
2000-07-11,107.03,107.18,106.59,107.09,6902,50,0
2000-07-12,107.1,108.48,107.02,108.13,7642,50,0
2000-07-13,108.12,108.39,106.96,108.03,7724,50,0
2000-07-14,108.05,108.46,107.55,108.09,7237,50,0
2000-07-17,107.72,108.83,107.3,107.96,7582,50,0
2000-07-18,108.01,108.42,107.6,108.15,7710,50,0
2000-07-19,108.18,108.38,107.71,108.26,7106,50,0
2000-07-20,108.26,108.28,107.3,107.51,6611,50,0
2000-07-21,107.51,109.2,107.4,109.01,7789,50,0
2000-07-24,108.74,109.16,108.46,108.75,7235,50,0
2000-07-25,108.77,109.33,108.56,109.16,6889,50,0
2000-07-26,109.12,109.42,108.89,109.11,7386,50,0
2000-07-27,109.12,109.35,108.71,109.15,7420,50,0
2000-07-28,109.17,109.82,108.52,109.7,7101,50,0
2000-07-31,109.6,109.8,109.15,109.31,7080,50,0
2000-08-01,109.33,109.79,108.93,109.26,7532,50,0
2000-08-02,109.27,109.34,108.3,108.88,6770,50,0
2000-08-03,108.87,109.15,107.92,108.36,7533,50,0
2000-08-04,108.37,108.66,108.05,108.58,7519,50,0
2000-08-07,108.57,109.17,108.45,109.04,6880,50,0
2000-08-08,109.05,109.27,108.31,108.55,7215,50,0
2000-08-09,108.54,108.7,107.75,107.88,6868,50,0
2000-08-10,107.86,109.07,107.47,108.64,7321,50,0
2000-08-11,108.63,108.95,108.3,108.5,4813,50,0
2000-08-14,108.65,109.64,108.56,109.42,6502,50,0
2000-08-15,109.39,109.64,108.87,109.06,7445,50,0
2000-08-16,109.07,109.21,108.31,108.53,7269,50,0
2000-08-17,108.56,108.67,108.23,108.54,6956,50,0
2000-08-18,108.57,109.15,108.06,108.35,7350,50,0
2000-08-21,108.28,108.77,107.8,108.67,6546,50,0
2000-08-22,108.69,108.69,108.12,108.32,6373,50,0
2000-08-23,108.31,108.37,106.82,107.07,7964,50,0
