time,open,high,low,close,tick_volume,spread,real_volume
2021-01-19,1837.44,1845.44,1832.94,1839.67,165673,13,0
2021-01-20,1839.7,1871.65,1832.28,1871.47,214504,13,0
2021-01-21,1871.0,1875.07,1858.26,1869.88,197646,13,0
2021-01-22,1869.86,1870.76,1837.22,1856.02,215791,13,0
2021-01-25,1854.53,1867.87,1847.04,1855.54,204374,13,0
2021-01-26,1855.81,1861.66,1848.29,1850.83,153030,13,0
2021-01-27,1850.27,1853.06,1831.12,1843.29,187816,13,0
2021-01-28,1843.6,1863.99,1833.95,1842.0,294063,13,0
2021-01-29,1842.55,1875.57,1839.5,1848.57,336092,13,0
2021-02-01,1862.17,1871.83,1849.04,1860.34,349688,13,0
2021-02-02,1859.95,1864.04,1829.46,1837.81,276884,13,0
2021-02-03,1837.82,1844.87,1829.68,1833.69,195559,13,0
2021-02-04,1833.81,1834.68,1784.98,1793.99,240664,13,0
2021-02-05,1793.7,1815.19,1792.02,1813.67,198200,13,0
2021-02-08,1815.96,1839.05,1807.7,1830.22,192783,13,0
2021-02-09,1830.15,1848.51,1828.78,1838.46,189908,13,0
2021-02-10,1837.61,1855.32,1833.99,1843.16,192268,13,0
2021-02-11,1843.0,1847.47,1821.06,1825.47,163954,13,0
2021-02-12,1825.81,1830.7,1810.52,1824.46,160669,11,0
2021-02-15,1825.04,1826.95,1815.99,1818.67,99872,7,0
2021-02-16,1819.0,1826.37,1789.44,1794.15,234618,12,0
2021-02-17,1793.96,1795.05,1769.48,1776.23,245152,13,0
2021-02-18,1776.62,1789.63,1768.35,1775.62,286489,13,0
2021-02-19,1776.57,1791.59,1760.56,1783.33,296404,13,0
2021-02-22,1782.14,1812.6,1780.6,1809.36,321582,13,0
2021-02-23,1809.3,1815.95,1795.55,1805.46,263983,13,0
2021-02-24,1804.75,1813.77,1783.54,1805.52,277593,12,0
2021-02-25,1805.28,1805.33,1765.38,1769.46,384337,13,0
2021-02-26,1771.22,1775.71,1717.1,1734.16,386791,13,0
2021-03-01,1733.04,1759.75,1719.63,1724.34,245549,13,0
2021-03-02,1724.8,1739.07,1707.11,1738.35,203833,5,0
2021-03-03,1737.91,1740.49,1701.87,1710.7,204479,12,0
2021-03-04,1710.53,1723.17,1690.53,1698.03,250641,8,0
2021-03-05,1697.34,1707.65,1687.22,1700.38,230338,12,0
2021-03-08,1702.65,1714.23,1676.74,1683.07,232165,12,0
2021-03-09,1682.93,1720.59,1680.04,1715.69,199060,12,0
2021-03-10,1715.84,1726.71,1708.12,1726.48,181643,12,0
2021-03-11,1726.44,1739.78,1719.18,1722.14,173706,12,0
2021-03-12,1722.05,1729.18,1699.14,1727.95,186546,12,0
2021-03-15,1727.62,1734.5,1721.62,1731.97,155657,12,0
2021-03-16,1731.51,1741.15,1726.08,1731.76,149579,12,0
2021-03-17,1731.5,1751.57,1723.95,1744.97,164295,5,0
2021-03-18,1744.68,1755.45,1719.16,1736.21,201144,12,0
2021-03-19,1735.73,1746.66,1728.34,1745.3,167018,12,0
2021-03-22,1745.62,1746.87,1727.27,1738.66,157405,7,0
2021-03-23,1738.75,1742.48,1724.61,1727.02,154016,12,0
2021-03-24,1727.09,1738.44,1723.72,1733.86,135896,12,0
2021-03-25,1734.53,1745.43,1721.69,1726.58,159536,12,0
2021-03-26,1727.13,1736.67,1721.47,1732.39,131649,12,0
2021-03-29,1731.89,1733.09,1705.68,1711.68,132635,9,0
2021-03-30,1712.35,1714.37,1678.69,1684.87,182643,12,0
2021-03-31,1685.16,1715.12,1677.82,1707.01,185616,13,0
2021-04-01,1707.47,1730.47,1705.68,1730.35,219219,11,0
2021-04-05,1728.41,1733.47,1721.19,1728.37,158574,11,0
2021-04-06,1728.22,1745.44,1727.13,1743.04,198438,11,0
2021-04-07,1742.86,1744.27,1730.51,1737.4,172922,5,0
2021-04-08,1737.63,1758.61,1733.08,1755.78,179705,8,0
2021-04-09,1755.46,1757.24,1731.07,1743.78,198250,8,0
2021-04-12,1743.37,1744.99,1727.29,1732.7,179197,11,0
2021-04-13,1732.37,1748.84,1723.64,1745.33,200735,5,0
2021-04-14,1745.41,1749.33,1732.52,1736.11,189338,5,0
